,OECD_CPI_2015idx_USA,OECD_Unemp_rate_pct_USA
2010-05-26,91.73054629343453,9.9
2010-05-27,91.73054629343453,9.9
2010-05-28,91.73054629343453,9.9
2010-05-29,91.73054629343453,9.9
2010-05-30,91.73054629343453,9.9
2010-05-31,91.68286732059995,9.6
2010-06-01,91.68286732059995,9.6
2010-06-02,91.68286732059995,9.6
2010-06-03,91.68286732059995,9.6
2010-06-04,91.68286732059995,9.6
2010-06-05,91.68286732059995,9.6
2010-06-06,91.68286732059995,9.6
2010-06-07,91.68286732059995,9.6
2010-06-08,91.68286732059995,9.6
2010-06-09,91.68286732059995,9.6
2010-06-10,91.68286732059995,9.6
2010-06-11,91.68286732059995,9.6
2010-06-12,91.68286732059995,9.6
2010-06-13,91.68286732059995,9.6
2010-06-14,91.68286732059995,9.6
2010-06-15,91.68286732059995,9.6
